FEW SHOT FULL FINE TUNING

training dataset size: 236
mean: tensor([0.7739, 0.7576, 0.7179])
std: tensor([0.2972, 0.2968, 0.3353])

lr=0.001 e=22: train acc 0.9999999403953552 | val acc 0.7021276354789734
lr=0.001 e=23: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.001 e=24: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.001 e=25: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.001 e=26: train acc 0.9999999403953552 | val acc 0.7446808218955994
lr=0.001 e=27: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.001 e=28: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.001 e=29: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.001 e=30: train acc 0.9999999403953552 | val acc 0.7446808218955994
lr=0.001 e=31: train acc 0.9999999403953552 | val acc 0.7234042286872864
lr=0.001 e=32: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.001 e=33: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.001 e=34: train acc 0.9999999403953552 | val acc 0.7446808218955994
lr=0.001 e=35: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.001 e=36: train acc 0.9999999403953552 | val acc 0.7446808218955994
lr=0.001 e=37: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.001 e=38: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.001 e=39: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.001 e=40: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.001 e=41: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.001 e=42: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.001 e=43: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.001 e=44: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.001 e=45: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.001 e=46: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.001 e=47: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.001 e=48: train acc 0.9999999403953552 | val acc 0.7446808218955994
lr=0.001 e=49: train acc 0.9999999403953552 | val acc 0.7659574151039124
lr=0.001 e=50: train acc 0.9999999403953552 | val acc 0.7872340083122253
lr=0.003 e=0: train acc 0.079365074634552 | val acc 0.042553190141916275
