SINGLE SHOT FINE TUNING

mean: tensor([0.8116, 0.7858, 0.7380])
std: tensor([0.2730, 0.2863, 0.3374])

lr=0.001 e=8: train acc 0.9039715528488159 | val acc 0.8693587183952332
lr=0.001 e=9: train acc 0.8938944935798645 | val acc 0.8503563404083252
lr=0.001 e=10: train acc 0.9140486717224121 | val acc 0.8717340230941772
lr=0.001 e=11: train acc 0.9217546582221985 | val acc 0.8717340230941772
lr=0.001 e=12: train acc 0.895080029964447 | val acc 0.845605731010437
lr=0.001 e=13: train acc 0.9223474264144897 | val acc 0.8907364010810852
lr=0.001 e=14: train acc 0.9081209301948547 | val acc 0.8551069498062134
lr=0.001 e=15: train acc 0.925311267375946 | val acc 0.8764845728874207
lr=0.001 e=16: train acc 0.925311267375946 | val acc 0.8598574995994568
lr=0.001 e=17: train acc 0.93657386302948 | val acc 0.8812351822853088
lr=0.001 e=18: train acc 0.9347955584526062 | val acc 0.8764845728874207
lr=0.001 e=19: train acc 0.9371666312217712 | val acc 0.8764845728874207
lr=0.001 e=20: train acc 0.9436870813369751 | val acc 0.8836104869842529
lr=0.001 e=21: train acc 0.9454653859138489 | val acc 0.8788598775863647
lr=0.001 e=22: train acc 0.9342027902603149 | val acc 0.8788598775863647
lr=0.001 e=23: train acc 0.9466509222984314 | val acc 0.8812351822853088
lr=0.001 e=24: train acc 0.9454653859138489 | val acc 0.8717340230941772
lr=0.001 e=25: train acc 0.9454653859138489 | val acc 0.8741093277931213
lr=0.001 e=26: train acc 0.9472436904907227 | val acc 0.8669834136962891
lr=0.001 e=27: train acc 0.952578604221344 | val acc 0.8836104869842529
lr=0.001 e=28: train acc 0.9519858360290527 | val acc 0.8764845728874207
lr=0.001 e=29: train acc 0.9442798495292664 | val acc 0.8741093277931213
lr=0.001 e=30: train acc 0.9573207497596741 | val acc 0.8836104869842529
lr=0.001 e=31: train acc 0.9460581541061401 | val acc 0.8717340230941772
lr=0.001 e=32: train acc 0.9508002996444702 | val acc 0.8812351822853088
lr=0.001 e=33: train acc 0.9537641406059265 | val acc 0.8717340230941772
lr=0.001 e=34: train acc 0.9425015449523926 | val acc 0.864608108997345
lr=0.001 e=35: train acc 0.9579135179519653 | val acc 0.8788598775863647
lr=0.001 e=36: train acc 0.9508002996444702 | val acc 0.8812351822853088
lr=0.001 e=37: train acc 0.9561352133750916 | val acc 0.8812351822853088
lr=0.001 e=38: train acc 0.9531713724136353 | val acc 0.8764845728874207
lr=0.001 e=39: train acc 0.9513930678367615 | val acc 0.8717340230941772
lr=0.001 e=40: train acc 0.9585062861442566 | val acc 0.8788598775863647
lr=0.001 e=41: train acc 0.9567279815673828 | val acc 0.8741093277931213
