FEW SHOT FROM SCRATCH

mean: tensor([0.7739, 0.7576, 0.7179])
std: tensor([0.2972, 0.2968, 0.3353])

lr=0.003 e=9: train acc 0.4814814627170563 | val acc 0.27659574151039124
lr=0.003 e=10: train acc 0.820105791091919 | val acc 0.42553189396858215
lr=0.003 e=11: train acc 0.978835940361023 | val acc 0.3617021143436432
lr=0.003 e=12: train acc 0.9259259104728699 | val acc 0.3829787075519562
lr=0.003 e=13: train acc 0.9576719403266907 | val acc 0.4893616735935211
lr=0.003 e=14: train acc 0.9894179701805115 | val acc 0.44680848717689514
lr=0.003 e=15: train acc 0.9894179701805115 | val acc 0.44680848717689514
lr=0.003 e=16: train acc 0.9999999403953552 | val acc 0.5744680762290955
lr=0.003 e=17: train acc 0.9999999403953552 | val acc 0.4893616735935211
lr=0.003 e=18: train acc 0.9999999403953552 | val acc 0.4893616735935211
lr=0.003 e=19: train acc 0.9999999403953552 | val acc 0.46808508038520813
lr=0.003 e=20: train acc 0.9999999403953552 | val acc 0.46808508038520813
lr=0.003 e=21: train acc 0.9999999403953552 | val acc 0.5106382966041565
lr=0.003 e=22: train acc 0.9999999403953552 | val acc 0.5531914830207825
lr=0.003 e=23: train acc 0.9999999403953552 | val acc 0.4893616735935211
lr=0.003 e=24: train acc 0.9999999403953552 | val acc 0.5319148898124695
lr=0.003 e=25: train acc 0.9999999403953552 | val acc 0.44680848717689514
lr=0.003 e=26: train acc 0.9999999403953552 | val acc 0.4893616735935211
lr=0.003 e=27: train acc 0.9999999403953552 | val acc 0.5106382966041565
lr=0.003 e=28: train acc 0.9999999403953552 | val acc 0.5531914830207825
lr=0.003 e=29: train acc 0.9999999403953552 | val acc 0.5106382966041565
lr=0.003 e=30: train acc 0.9999999403953552 | val acc 0.5106382966041565
lr=0.003 e=31: train acc 0.9999999403953552 | val acc 0.5106382966041565
lr=0.003 e=32: train acc 0.9999999403953552 | val acc 0.5531914830207825
lr=0.003 e=33: train acc 0.9999999403953552 | val acc 0.40425530076026917
lr=0.003 e=34: train acc 0.9999999403953552 | val acc 0.44680848717689514
lr=0.003 e=35: train acc 0.9999999403953552 | val acc 0.46808508038520813
lr=0.003 e=36: train acc 0.9999999403953552 | val acc 0.46808508038520813
lr=0.003 e=37: train acc 0.9999999403953552 | val acc 0.5106382966041565
lr=0.003 e=38: train acc 0.9999999403953552 | val acc 0.5106382966041565
lr=0.003 e=39: train acc 0.9999999403953552 | val acc 0.5106382966041565
lr=0.003 e=40: train acc 0.9999999403953552 | val acc 0.5106382966041565
lr=0.003 e=41: train acc 0.9206348657608032 | val acc 0.3829787075519562
lr=0.003 e=42: train acc 0.9999999403953552 | val acc 0.44680848717689514
lr=0.003 e=43: train acc 0.9365078806877136 | val acc 0.3404255211353302
lr=0.003 e=44: train acc 0.9894179701805115 | val acc 0.3404255211353302
lr=0.003 e=45: train acc 0.9999999403953552 | val acc 0.46808508038520813
lr=0.003 e=46: train acc 0.9947089552879333 | val acc 0.4893616735935211
lr=0.003 e=47: train acc 0.9999999403953552 | val acc 0.5531914830207825
lr=0.003 e=48: train acc 0.9999999403953552 | val acc 0.3829787075519562
lr=0.003 e=49: train acc 0.9999999403953552 | val acc 0.40425530076026917
lr=0.003 e=50: train acc 0.9999999403953552 | val acc 0.4893616735935211
lr=0.0001 e=0: train acc 0.13756613433361053 | val acc 0.12765957415103912
lr=0.0001 e=1: train acc 0.20105819404125214 | val acc 0.1702127605676651
lr=0.0001 e=2: train acc 0.35978835821151733 | val acc 0.3191489279270172
lr=0.0001 e=3: train acc 0.34391534328460693 | val acc 0.3404255211353302
lr=0.0001 e=4: train acc 0.4021163880825043 | val acc 0.3404255211353302
lr=0.0001 e=5: train acc 0.4656084477901459 | val acc 0.3404255211353302
lr=0.0001 e=6: train acc 0.47089946269989014 | val acc 0.3829787075519562
lr=0.0001 e=7: train acc 0.4497354328632355 | val acc 0.2978723347187042
lr=0.0001 e=8: train acc 0.4920634627342224 | val acc 0.3404255211353302
lr=0.0001 e=9: train acc 0.5820105671882629 | val acc 0.3191489279270172
lr=0.0001 e=10: train acc 0.634920597076416 | val acc 0.42553189396858215
lr=0.0001 e=11: train acc 0.6666666269302368 | val acc 0.3617021143436432
lr=0.0001 e=12: train acc 0.6137565970420837 | val acc 0.3404255211353302
lr=0.0001 e=13: train acc 0.714285671710968 | val acc 0.42553189396858215
lr=0.0001 e=14: train acc 0.6931216716766357 | val acc 0.3829787075519562
lr=0.0001 e=15: train acc 0.7407407164573669 | val acc 0.40425530076026917
lr=0.0001 e=16: train acc 0.7724867463111877 | val acc 0.3829787075519562
lr=0.0001 e=17: train acc 0.7883597612380981 | val acc 0.46808508038520813
lr=0.0001 e=18: train acc 0.7989417910575867 | val acc 0.3829787075519562
lr=0.0001 e=19: train acc 0.7830687761306763 | val acc 0.46808508038520813
lr=0.0001 e=20: train acc 0.7883597612380981 | val acc 0.40425530076026917
lr=0.0001 e=21: train acc 0.8253967761993408 | val acc 0.42553189396858215
lr=0.0001 e=22: train acc 0.820105791091919 | val acc 0.44680848717689514
lr=0.0001 e=23: train acc 0.8148148059844971 | val acc 0.44680848717689514
lr=0.0001 e=24: train acc 0.8306878209114075 | val acc 0.44680848717689514
lr=0.0001 e=25: train acc 0.8571428060531616 | val acc 0.4893616735935211
lr=0.0001 e=26: train acc 0.8571428060531616 | val acc 0.4893616735935211
lr=0.0001 e=27: train acc 0.8571428060531616 | val acc 0.46808508038520813
lr=0.0001 e=28: train acc 0.8677248358726501 | val acc 0.46808508038520813
lr=0.0001 e=29: train acc 0.873015820980072 | val acc 0.40425530076026917
lr=0.0001 e=30: train acc 0.873015820980072 | val acc 0.46808508038520813
lr=0.0001 e=31: train acc 0.8571428060531616 | val acc 0.44680848717689514
lr=0.0001 e=32: train acc 0.873015820980072 | val acc 0.46808508038520813
lr=0.0001 e=33: train acc 0.8941798806190491 | val acc 0.5106382966041565
lr=0.0001 e=34: train acc 0.8783068656921387 | val acc 0.4893616735935211
lr=0.0001 e=35: train acc 0.8888888359069824 | val acc 0.4893616735935211
